model,mode,micro_f1,macro_f1,jaccard_samples,exact_match_ratio,avg_true_labels,avg_pred_labels,abs_cardinality_error,lrap,tau,delta
baseline_lexical,top1,0.40714285714285714,0.34352897633152407,0.3053691275167785,0.22818791946308725,0.8791946308724832,1.0,0.12080536912751683,0.4826038159371495,,
baseline_lexical,top2,0.3356643356643357,0.34309841890487053,0.22259507829977626,0.053691275167785234,0.8791946308724832,2.0,1.1208053691275168,0.4826038159371495,,
baseline_lexical,threshold_delta,0.48514851485148514,0.40216303156873406,0.2516778523489933,0.4697986577181208,0.8791946308724832,0.47651006711409394,0.40268456375838924,0.4826038159371495,0.2,0.0
baseline_semantic_tfidf,top1,0.4857142857142857,0.4448851046073268,0.3724832214765101,0.28859060402684567,0.8791946308724832,1.0,0.12080536912751683,0.7301907968574636,,
baseline_semantic_tfidf,top2,0.4289044289044289,0.39145056021481006,0.28635346756152125,0.06711409395973154,0.8791946308724832,2.0,1.1208053691275168,0.7301907968574636,,
baseline_semantic_tfidf,threshold_delta,0.0,0.0,0.0,0.3288590604026846,0.8791946308724832,0.006711409395973154,0.87248322147651,0.7301907968574636,0.2,0.0
backbone_allenai_specter,top1,0.34285714285714286,0.36781849633845454,0.27181208053691275,0.2214765100671141,0.8791946308724832,1.0,0.12080536912751683,0.6475388808722143,,
backbone_allenai_specter,top2,0.358974358974359,0.34311486990632384,0.2337807606263982,0.03355704697986577,0.8791946308724832,2.0,1.1208053691275168,0.6475388808722143,,
backbone_allenai_specter,threshold_delta,0.40514469453376206,0.3993112972237651,0.27874720357941835,0.3087248322147651,0.8791946308724832,1.2080536912751678,0.32885906040268464,0.6475388808722143,0.75,0.02
backbone_allenai_scibert_scivocab_uncased,top1,0.3,0.3086123249719741,0.22483221476510068,0.16778523489932887,0.8791946308724832,1.0,0.12080536912751683,0.6165624498957833,,
backbone_allenai_scibert_scivocab_uncased,top2,0.34965034965034963,0.37515173692706866,0.22818791946308725,0.053691275167785234,0.8791946308724832,2.0,1.1208053691275168,0.6165624498957833,,
backbone_allenai_scibert_scivocab_uncased,threshold_delta,0.34334763948497854,0.3578241231763054,0.21131351869606904,0.087248322147651,0.8791946308724832,2.248322147651007,1.3691275167785237,0.6165624498957833,0.75,0.02
backbone_bert_base_uncased,top1,0.35,0.3410446013409238,0.26174496644295303,0.19463087248322147,0.8791946308724832,1.0,0.12080536912751683,0.6381253006253009,,
backbone_bert_base_uncased,top2,0.3543123543123543,0.3463533193957773,0.22595078299776286,0.026845637583892617,0.8791946308724832,2.0,1.1208053691275168,0.6381253006253009,,
backbone_bert_base_uncased,threshold_delta,0.35170603674540685,0.35196912577213535,0.2564397571108981,0.1476510067114094,0.8791946308724832,1.6778523489932886,0.7986577181208054,0.6381253006253009,0.75,0.01
backbone_roberta_base,top1,0.1,0.053308308308308315,0.06711409395973154,0.040268456375838924,0.8791946308724832,1.0,0.12080536912751683,0.36161816578483247,,
backbone_roberta_base,top2,0.1258741258741259,0.13017534745363962,0.07829977628635347,0.006711409395973154,0.8791946308724832,2.0,1.1208053691275168,0.36161816578483247,,
backbone_roberta_base,threshold_delta,0.1,0.053308308308308315,0.06711409395973154,0.040268456375838924,0.8791946308724832,1.0,0.12080536912751683,0.36161816578483247,0.2,0.0
