model,mode,micro_f1,macro_f1,jaccard_samples,exact_match_ratio,avg_true_labels,avg_pred_labels,abs_cardinality_error,lrap,tau,delta
baseline_lexical,top1,0.2857142857142857,0.05555555555555555,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.33333333333333326,0.4444444444444444,,
baseline_lexical,top2,0.2,0.05555555555555555,0.16666666666666666,0.0,1.3333333333333333,2.0,0.6666666666666667,0.4444444444444444,,
baseline_lexical,threshold_delta,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.2,0.0
baseline_semantic_tfidf,top1,0.5714285714285714,0.08888888888888889,0.5,0.3333333333333333,1.3333333333333333,1.0,0.33333333333333326,0.6944444444444443,,
baseline_semantic_tfidf,top2,0.4,0.08888888888888889,0.27777777777777773,0.0,1.3333333333333333,2.0,0.6666666666666667,0.6944444444444443,,
baseline_semantic_tfidf,threshold_delta,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.6944444444444443,0.2,0.0
backbone_allenai_specter,top1,0.2857142857142857,0.07407407407407407,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.33333333333333326,0.611111111111111,,
backbone_allenai_specter,top2,0.4,0.08888888888888889,0.27777777777777773,0.0,1.3333333333333333,2.0,0.6666666666666667,0.611111111111111,,
backbone_allenai_specter,threshold_delta,0.5714285714285714,0.23703703703703705,0.4166666666666667,0.0,1.3333333333333333,3.3333333333333335,2.0,0.611111111111111,0.2,0.06
