model,mode,micro_f1,macro_f1,jaccard_samples,exact_match_ratio,avg_true_labels,avg_pred_labels,abs_cardinality_error,lrap,tau,delta
baseline_lexical,top1,0.40714285714285714,0.34352897633152407,0.3053691275167785,0.22818791946308725,0.8791946308724832,1.0,0.12080536912751683,0.4826038159371495,,
baseline_lexical,top2,0.3356643356643357,0.34309841890487053,0.22259507829977626,0.053691275167785234,0.8791946308724832,2.0,1.1208053691275168,0.4826038159371495,,
baseline_lexical,threshold_delta,0.48514851485148514,0.40216303156873406,0.2516778523489933,0.4697986577181208,0.8791946308724832,0.47651006711409394,0.40268456375838924,0.4826038159371495,0.03,0.0
baseline_semantic_tfidf,top1,0.4857142857142857,0.4448851046073268,0.3724832214765101,0.28859060402684567,0.8791946308724832,1.0,0.12080536912751683,0.7301907968574636,,
baseline_semantic_tfidf,top2,0.4289044289044289,0.39145056021481006,0.28635346756152125,0.06711409395973154,0.8791946308724832,2.0,1.1208053691275168,0.7301907968574636,,
baseline_semantic_tfidf,threshold_delta,0.5425101214574899,0.5047334979189416,0.3126398210290827,0.4161073825503356,0.8791946308724832,0.7785234899328859,0.10067114093959728,0.7301907968574636,0.03,0.08
