pb,weighted_degree,betweenness
PB6,0.6011364754240667,0.0
PB5,0.49723090886216376,0.0
PB1,0.46504133078835364,0.0
PB9,0.4614203186034859,0.03571428571428571
PB4,0.45588059299755734,0.0
PB7,0.4380055056002714,0.0
PB3,0.33708606448067224,0.0
PB2,0.2267028613005807,0.0
PB8,0.05256985134354147,0.0
