,lexical,tfidf,bert-base,roberta,scibert,specter
lexical,1.0,0.39077946768060834,0.38653358681875793,0.04635614702154626,0.37433460076045627,0.3557984790874525
tfidf,0.39077946768060834,1.0,0.44727503168567806,0.17103929024081116,0.3694233206590621,0.46422686945500635
bert-base,0.38653358681875793,0.44727503168567806,1.0,0.2702788339670469,0.528105196451204,0.5115335868187579
roberta,0.04635614702154626,0.17103929024081116,0.2702788339670469,1.0,0.46448035487959444,0.27252851711026616
scibert,0.37433460076045627,0.3694233206590621,0.528105196451204,0.46448035487959444,1.0,0.4714828897338403
specter,0.3557984790874525,0.46422686945500635,0.5115335868187579,0.27252851711026616,0.4714828897338403,1.0
