,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9
PB1,1.0,0.01936278824150678,0.04868913857677903,0.027045769764216365,0.030361408646066117,0.1538701817954645,0.06240759473970897,0.00934413099581739,0.1139603180287945
PB2,0.01936278824150678,1.0,0.022177803160098992,0.041498191104490316,0.06859441243613436,0.013097176981541803,0.03958054898735479,0.0032150205761316874,0.019176919813322018
PB3,0.04868913857677903,0.022177803160098992,1.0,0.008131305526276163,0.018135106543750945,0.018500989587815164,0.00014249073810202338,0.0,0.2213092303478499
PB4,0.027045769764216365,0.041498191104490316,0.008131305526276163,1.0,0.21529090527200168,0.0727308564107618,0.044585987261146494,0.0220348204570185,0.02456275720164609
PB5,0.030361408646066117,0.06859441243613436,0.018135106543750945,0.21529090527200168,1.0,0.07022526934378061,0.06949063539296342,0.008762612851832182,0.016370558375634517
PB6,0.1538701817954645,0.013097176981541803,0.018500989587815164,0.0727308564107618,0.07022526934378061,1.0,0.21348922810436288,0.0006747638326585695,0.0585480093676815
PB7,0.06240759473970897,0.03958054898735479,0.00014249073810202338,0.044585987261146494,0.06949063539296342,0.21348922810436288,1.0,0.004677498769079271,0.003631521607553565
PB8,0.00934413099581739,0.0032150205761316874,0.0,0.0220348204570185,0.008762612851832182,0.0006747638326585695,0.004677498769079271,1.0,0.003861003861003861
PB9,0.1139603180287945,0.019176919813322018,0.2213092303478499,0.02456275720164609,0.016370558375634517,0.0585480093676815,0.003631521607553565,0.003861003861003861,1.0
