,specter,scibert,bert-base,roberta,lex-baseline,tfidf-baseline
specter,1.0,0.4714828897338403,0.5115335868187579,0.27252851711026616,0.3557984790874525,0.46422686945500635
scibert,0.4714828897338403,1.0,0.528105196451204,0.46448035487959444,0.37433460076045627,0.3694233206590621
bert-base,0.5115335868187579,0.528105196451204,1.0,0.2702788339670469,0.38653358681875793,0.44727503168567806
roberta,0.27252851711026616,0.46448035487959444,0.2702788339670469,1.0,0.04635614702154626,0.17103929024081116
lex-baseline,0.3557984790874525,0.37433460076045627,0.38653358681875793,0.04635614702154626,1.0,0.39077946768060834
tfidf-baseline,0.46422686945500635,0.3694233206590621,0.44727503168567806,0.17103929024081116,0.39077946768060834,1.0
