year,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9
1995,23.92638036809816,24.539877300613497,3.6809815950920246,9.202453987730062,4.9079754601226995,18.404907975460123,4.9079754601226995,0.0,10.429447852760736
1996,23.837209302325583,22.674418604651162,9.30232558139535,8.13953488372093,5.232558139534884,16.27906976744186,4.069767441860465,1.1627906976744187,9.30232558139535
1997,20.2020202020202,20.707070707070706,9.090909090909092,9.090909090909092,7.575757575757576,18.68686868686869,6.0606060606060606,2.525252525252525,6.0606060606060606
1998,26.237623762376238,17.82178217821782,7.425742574257425,7.425742574257425,4.9504950495049505,18.81188118811881,5.9405940594059405,1.4851485148514851,9.900990099009901
1999,25.31645569620253,16.877637130801688,6.329113924050633,8.438818565400844,6.329113924050633,20.675105485232066,6.751054852320674,0.42194092827004215,8.860759493670885
2000,19.34673366834171,19.09547738693467,5.778894472361809,6.030150753768844,7.788944723618091,24.623115577889447,8.793969849246231,0.25125628140703515,8.291457286432161
2001,19.12350597609562,23.50597609561753,9.56175298804781,5.179282868525896,5.9760956175298805,21.115537848605577,5.577689243027888,1.1952191235059761,8.764940239043826
2002,18.71345029239766,20.175438596491226,11.988304093567251,8.771929824561402,8.187134502923977,16.374269005847953,6.725146198830409,0.5847953216374269,8.47953216374269
2003,18.138424821002385,23.627684964200476,11.455847255369928,4.295942720763723,5.4892601431980905,15.75178997613365,5.966587112171838,0.23866348448687352,15.035799522673033
2004,19.910514541387027,19.910514541387027,11.185682326621924,7.606263982102908,6.263982102908278,15.659955257270694,6.263982102908278,0.44742729306487694,12.751677852348994
2005,19.237749546279492,18.148820326678766,11.978221415607985,8.166969147005444,7.259528130671507,14.882032667876588,5.9891107078039925,0.9074410163339384,13.430127041742287
2006,19.854014598540147,18.394160583941606,12.116788321167883,6.423357664233577,5.401459854014599,14.744525547445257,7.445255474452554,0.583941605839416,15.036496350364963
2007,19.53232462173315,22.283356258596974,12.104539202200826,6.189821182943604,6.327372764786795,13.892709766162312,5.639614855570839,1.2379642365887207,12.792297111416781
2008,22.36976506639428,17.56894790602656,9.601634320735444,6.8437180796731365,5.9244126659857,15.321756894790603,6.128702757916241,1.3278855975485189,14.913176710929521
2009,21.039182282793867,18.313458262350938,10.81771720613288,5.792163543441227,5.110732538330494,15.67291311754685,5.9625212947189095,1.362862010221465,15.928449744463375
2010,20.36082474226804,18.105670103092784,9.278350515463918,6.121134020618556,6.185567010309279,17.074742268041238,6.701030927835052,1.2242268041237114,14.948453608247423
2011,19.73284760170006,17.48633879781421,10.321797207043108,6.0109289617486334,7.103825136612022,16.089860352155434,7.710989678202792,1.639344262295082,13.904068002428657
2012,19.328703703703702,20.3125,8.275462962962964,7.928240740740741,6.423611111111111,15.79861111111111,7.002314814814816,1.678240740740741,13.252314814814813
2013,20.07337526205451,18.448637316561843,8.333333333333332,7.49475890985325,5.712788259958071,17.29559748427673,7.756813417190776,0.9958071278825996,13.88888888888889
2014,18.07653575025176,18.731117824773413,9.566968781470292,7.250755287009064,7.502517623363544,18.177240684793556,7.150050352467272,2.014098690835851,11.530715005035248
2015,21.33168927250308,15.125359638306618,7.973695026715988,6.863953966296752,7.398273736128237,19.852034525277436,7.274969173859433,1.6029593094944512,12.577065351418002
2016,22.127084272194683,13.835060838215412,9.779179810725552,6.624605678233439,6.849932401982875,18.92744479495268,6.7598017124831005,1.3068949977467328,13.789995493465526
2017,21.74089068825911,13.96761133603239,9.31174089068826,6.5991902834008105,7.449392712550608,19.271255060728745,7.4089068825910935,1.9433198380566803,12.307692307692308
2018,24.01906857352402,13.31133113311331,10.157682434910157,6.6740007334066735,7.297396406307298,18.51851851851852,6.233956729006234,1.9435276861019435,11.844517785111844
2019,25.008494733265373,13.625552157662248,8.460754332313964,5.9123343527013255,6.523955147808359,18.960244648318042,7.679238871899423,2.378525314305131,11.450900441726128
2020,27.072192513368986,13.101604278074866,8.18850267379679,6.417112299465241,6.885026737967914,18.649732620320854,6.684491978609626,2.6737967914438503,10.327540106951872
2021,28.720379146919434,12.701421800947868,8.973143759873619,5.971563981042654,6.31911532385466,17.914691943127963,6.666666666666667,2.432859399684044,10.300157977883098
2022,29.777463793712467,12.68103143765454,8.442246555987284,5.934298834334157,6.2875309078064285,17.414341222182976,7.0646414694454265,2.9318262098198518,9.46661956905687
2023,32.667245873153774,11.251086012163336,6.211989574283232,5.169417897480452,5.430060816681147,19.02693310165074,8.297132927888793,4.083405734144222,7.8627280625543
2024,26.127819548872182,12.31203007518797,3.9473684210526314,6.203007518796992,7.518796992481203,18.984962406015036,13.62781954887218,4.793233082706767,6.484962406015038
