model,n_docs,score_raw_mean,score_norm_mean,pts_principal_mean,pts_2nd_mean,pts_3rd_mean,pts_penalty_mean,fully_correct,pct_top1_full_credit,pct_top2_partial_credit,pct_principal_missed
tfidf,98,2.107142857142857,0.6443452380952381,2.0969387755102042,0.07142857142857142,0.0,-0.061224489795918366,0.3877551020408163,0.6326530612244898,0.1326530612244898,0.23469387755102042
specter,98,1.6275510204081634,0.498937074829932,1.6683673469387754,0.10204081632653061,0.0,-0.14285714285714285,0.29591836734693877,0.4387755102040816,0.23469387755102042,0.32653061224489793
lexical,98,1.5612244897959184,0.47959183673469385,1.530612244897959,0.061224489795918366,0.0,-0.030612244897959183,0.336734693877551,0.46938775510204084,0.08163265306122448,0.4489795918367347
bert-base,98,1.5051020408163265,0.4534438775510204,1.6377551020408163,0.11224489795918367,0.0,-0.24489795918367346,0.21428571428571427,0.4489795918367347,0.19387755102040816,0.35714285714285715
scibert,98,1.3265306122448979,0.38945578231292516,1.5153061224489797,0.16326530612244897,0.0,-0.3520408163265306,0.09183673469387756,0.37755102040816324,0.25510204081632654,0.3673469387755102
roberta,98,0.35714285714285715,0.10204081632653061,0.5510204081632653,0.02040816326530612,0.0,-0.21428571428571427,0.061224489795918366,0.12244897959183673,0.12244897959183673,0.7551020408163265
