bucket,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9
1995-2000,22.62773722627737,19.854014598540147,6.788321167883211,7.737226277372263,6.423357664233577,20.437956204379564,6.569343065693431,0.8759124087591241,8.686131386861314
2001-2005,19.0547263681592,20.69651741293532,11.393034825870647,6.965174129353234,6.666666666666667,16.268656716417908,6.119402985074627,0.6467661691542288,12.189054726368159
2006-2010,20.71526284932578,18.6828219659957,10.474887629470393,6.234121555598984,5.804182137971468,15.653703341801837,6.3709204612077395,1.1921047488762948,14.871995309751807
2011-2015,19.78973407544836,17.841682127396414,8.822923108637394,7.111935683364255,6.8645640074211505,17.645846217274787,7.369614512471655,1.5873015873015872,12.966398680684396
2016-2020,24.18545427308816,13.542056774773425,9.122912141412629,6.426484907497566,6.988240581229871,18.852520410456144,6.958280278630815,2.0972211819339375,11.826829450977455
2021-2024,29.715872676778467,12.29438154240547,7.562486648152104,5.789361247596667,6.227301858577227,18.15851313821833,7.979064302499466,3.2578508865627,9.015167699209572
